,state,action,reward,next_state,distribution
0,"[0.13029153645038605, 0.10356390476226807]",2,2.0,"[0.11800329371961563, 0.10356390799499376]","[0.09405799210071564, 0.09586719423532486, 0.10597701370716095, 0.11897654831409454, 0.09005764126777649, 0.09060834348201752, 0.10072902590036392, 0.10488632321357727, 0.10775510966777802, 0.09108486026525497]"
1,"[0.11800329387187958, 0.10356390476226807]",4,2.0,"[0.11162709810219479, 0.10356390799499376]","[0.09419424831867218, 0.09587963670492172, 0.10592672228813171, 0.11882597953081131, 0.0900331437587738, 0.09064880013465881, 0.10071390867233276, 0.10469485819339752, 0.10777802765369415, 0.09130467474460602]"
2,"[0.11162709444761276, 0.10356390476226807]",8,0.0,"[0.10742296541252036, 0.10356390799499376]","[0.09426349401473999, 0.09588352590799332, 0.10590356588363647, 0.1187453344464302, 0.09002236276865005, 0.09066566079854965, 0.10071149468421936, 0.10459927469491959, 0.10779157280921936, 0.09141377359628677]"
3,"[0.10742296278476715, 0.10356390476226807]",5,-2.0,"[0.12614851406708985, 0.10356390799499376]","[0.0943106859922409, 0.09588546305894852, 0.10589143633842468, 0.11868986487388611, 0.09001760929822922, 0.09067630767822266, 0.10071072727441788, 0.10453368723392487, 0.10780308395624161, 0.09148114919662476]"
4,"[0.1261485069990158, 0.10356390476226807]",7,0.0,"[0.1261719776686885, 0.10356390799499376]","[0.09410295635461807, 0.09587190300226212, 0.10595981776714325, 0.11892694234848022, 0.09004849195480347, 0.09062514454126358, 0.10072249174118042, 0.10482025146484375, 0.10776163637638092, 0.0911603718996048]"
5,"[0.12617197632789612, 0.10356390476226807]",3,-2.0,"[0.14951537568621687, 0.10356390799499376]","[0.09410269558429718, 0.09587188065052032, 0.1059599220752716, 0.11892721801996231, 0.09004853665828705, 0.09062504768371582, 0.100722536444664, 0.1048206239938736, 0.10776159912347794, 0.09115994721651077]"
6,"[0.14951537549495697, 0.10356390476226807]",1,0.0,"[0.14754533351502422, 0.10356390799499376]","[0.09387439489364624, 0.09584155678749084, 0.1060611754655838, 0.11918442696332932, 0.0900910347700119, 0.09053695946931839, 0.10074743628501892, 0.10519980639219284, 0.1077210083603859, 0.09074217081069946]"
7,"[0.14754533767700195, 0.10356390476226807]",4,2.0,"[0.11520225869739797, 0.10356390799499376]","[0.09389283508062363, 0.09584472328424454, 0.1060529351234436, 0.11916354298591614, 0.09008777886629105, 0.09054455906152725, 0.10074642300605774, 0.10516678541898727, 0.10772404074668884, 0.09077641367912292]"
8,"[0.11520225554704666, 0.10356390476226807]",2,3.0,"[0.0698321281904634, 0.10163035655135738]","[0.09422454237937927, 0.09588152170181274, 0.10591545701026917, 0.11879125237464905, 0.09002761542797089, 0.09065649658441544, 0.10071269422769547, 0.10465376824140549, 0.10778319090604782, 0.09135344624519348]"
9,"[0.06983213126659393, 0.10163035988807678]",4,4.0,"[0.07227348280980539, 0.08900806721170167]","[0.09475313872098923, 0.09589599817991257, 0.10578706860542297, 0.11827019602060318, 0.09004518389701843, 0.090705506503582, 0.10070770233869553, 0.10388706624507904, 0.1079133078455925, 0.09203488379716873]"
10,"[0.07227348536252975, 0.08900807052850723]",0,1.0,"[0.07466797647564148, 0.08470263721952692]","[0.09466131031513214, 0.09575694799423218, 0.10580844432115555, 0.11850740015506744, 0.0900750458240509, 0.09071838855743408, 0.10067681223154068, 0.10397540032863617, 0.10790497064590454, 0.0919153094291687]"
11,"[0.07466797530651093, 0.08470264077186584]",8,1.0,"[0.0754229767651072, 0.08364838918368962]","[0.09461719542741776, 0.09571325033903122, 0.10581701248884201, 0.11860452592372894, 0.09007693827152252, 0.0907232016324997, 0.10065874457359314, 0.10404074937105179, 0.10789439082145691, 0.09185400605201721]"
12,"[0.0754229798913002, 0.08364839106798172]",1,-2.0,"[0.09016858691576281, 0.08364838918368962]","[0.09460446983575821, 0.09570243209600449, 0.10581953078508377, 0.11863014101982117, 0.09007707983255386, 0.09072451293468475, 0.10065408051013947, 0.10405990481376648, 0.10789120942354202, 0.0918366089463234]"
13,"[0.09016858786344528, 0.08364839106798172]",8,0.0,"[0.0895431106772158, 0.08364838918368962]","[0.0944415032863617, 0.0956948846578598, 0.10585010796785355, 0.11879578977823257, 0.09005774557590485, 0.09072273224592209, 0.10064838826656342, 0.1043185368180275, 0.10785465687513351, 0.09161565452814102]"
14,"[0.08954311162233353, 0.08364839106798172]",5,-2.0,"[0.11746347124614322, 0.08364838918368962]","[0.09444750845432281, 0.09569544345140457, 0.10584893077611923, 0.11878816038370132, 0.09005746990442276, 0.09072419255971909, 0.1006484404206276, 0.10430778563022614, 0.10785659402608871, 0.09162548184394836]"
15,"[0.11746346950531006, 0.08364839106798172]",9,0.0,"[0.11684904804211341, 0.08364838918368962]","[0.09413662552833557, 0.0956718772649765, 0.10591237246990204, 0.119159996509552, 0.09008651971817017, 0.09061966836452484, 0.10068590193986893, 0.1047719344496727, 0.10777193307876587, 0.09118318557739258]"
16,"[0.11684904992580414, 0.08364839106798172]",6,0.0,"[0.11948105961767955, 0.08364838918368962]","[0.09414300322532654, 0.09567220509052277, 0.10591088235378265, 0.11915193498134613, 0.09008608013391495, 0.09062256664037704, 0.10068497061729431, 0.1047617495059967, 0.10777348279953003, 0.09119314700365067]"
17,"[0.11948105692863464, 0.08364839106798172]",0,2.0,"[0.10041852286152515, 0.08364838918368962]","[0.09411618113517761, 0.09567036479711533, 0.10591745376586914, 0.11918623745441437, 0.09008829295635223, 0.09061027318239212, 0.10068931430578232, 0.10480543971061707, 0.10776728391647339, 0.09114920347929001]"
18,"[0.10041852295398712, 0.08364839106798172]",3,-2.0,"[0.1287757145105387, 0.08364838918368962]","[0.0943276658654213, 0.09568478167057037, 0.10587190836668015, 0.11892914026975632, 0.09006769955158234, 0.09069156646728516, 0.10065989196300507, 0.10448647290468216, 0.1078229695558548, 0.09145792573690414]"
19,"[0.1287757158279419, 0.08364839106798172]",6,0.0,"[0.12951612058173775, 0.08364838918368962]","[0.09402214735746384, 0.09565936774015427, 0.10595055669546127, 0.11929874122142792, 0.09010370075702667, 0.0905642956495285, 0.10070320963859558, 0.10495342314243317, 0.1077582836151123, 0.09098632633686066]"
20,"[0.1295161247253418, 0.08364839106798172]",8,0.0,"[0.12863064297092042, 0.08364838918368962]","[0.0940147265791893, 0.09565840661525726, 0.1059531718492508, 0.11930742114782333, 0.09010500460863113, 0.09056077152490616, 0.1007036566734314, 0.10496535897254944, 0.10775808990001678, 0.09097343683242798]"
21,"[0.1286306381225586, 0.08364839106798172]",4,2.0,"[0.09727136090407568, 0.08364838918368962]","[0.09402360022068024, 0.09565955400466919, 0.10595002770423889, 0.11929704248905182, 0.09010345488786697, 0.09056498110294342, 0.10070311278104782, 0.10495106875896454, 0.10775831341743469, 0.09098884463310242]"
22,"[0.09727136045694351, 0.08364839106798172]",0,0.0,"[0.09484917536352443, 0.08364838918368962]","[0.09436433017253876, 0.09568823873996735, 0.10586509108543396, 0.11888712644577026, 0.09006401896476746, 0.09070176631212234, 0.10065478086471558, 0.1044357568025589, 0.10783297568559647, 0.09150594472885132]"
23,"[0.09484917670488358, 0.08364839106798172]",8,0.0,"[0.09624193254801419, 0.08364838918368962]","[0.0943925529718399, 0.09569089859724045, 0.10585983842611313, 0.11885479837656021, 0.09006116539239883, 0.0907096192240715, 0.1006508395075798, 0.104396753013134, 0.10784067213535309, 0.09154291450977325]"
24,"[0.09624193608760834, 0.08364839106798172]",0,0.0,"[0.09606026306147111, 0.08364838918368962]","[0.09437631815671921, 0.09568936377763748, 0.10586284846067429, 0.11887338012456894, 0.09006280452013016, 0.09070509672164917, 0.10065310448408127, 0.10441917181015015, 0.10783624649047852, 0.09152165800333023]"
25,"[0.09606026113033295, 0.08364839106798172]",5,-2.0,"[0.10689623747598066, 0.08364838918368962]","[0.09437843412160873, 0.09568957984447479, 0.10586246103048325, 0.11887096613645554, 0.09006259590387344, 0.09070569276809692, 0.10065280646085739, 0.10441625118255615, 0.10783683508634567, 0.09152443706989288]"
26,"[0.10689623653888702, 0.08364839106798172]",0,0.0,"[0.10705414979040516, 0.08364838918368962]","[0.09425339847803116, 0.09567821025848389, 0.10588632524013519, 0.11901587247848511, 0.09007541090250015, 0.09066706895828247, 0.1006712019443512, 0.10459312796592712, 0.10780294239521027, 0.09135641157627106]"
27,"[0.10705415159463882, 0.08364839106798172]",0,0.0,"[0.10703881301091751, 0.08364838918368962]","[0.09425165504217148, 0.09567812085151672, 0.10588672757148743, 0.11901804059743881, 0.09007558226585388, 0.09066636860370636, 0.1006714403629303, 0.10459581017494202, 0.10780248790979385, 0.09135382622480392]"
28,"[0.10703881084918976, 0.08364839106798172]",9,0.0,"[0.10854121424733966, 0.08364838918368962]","[0.09425181895494461, 0.09567812085151672, 0.10588667541742325, 0.1190178170800209, 0.09007555991411209, 0.09066642820835114, 0.10067140311002731, 0.10459554195404053, 0.10780251026153564, 0.09135406464338303]"
29,"[0.10854121297597885, 0.08364839106798172]",3,-2.0,"[0.135927222915059, 0.08364838918368962]","[0.0942351371049881, 0.0956772193312645, 0.10589040070772171, 0.11903836578130722, 0.09007718414068222, 0.0906597301363945, 0.10067348927259445, 0.10462099313735962, 0.10779807716608047, 0.0913294106721878]"
30,"[0.1359272301197052, 0.08364839106798172]",0,0.0,"[0.13395274281910016, 0.08364838918368962]","[0.09395042806863785, 0.09565003216266632, 0.10597583651542664, 0.11938253045082092, 0.09011620283126831, 0.09053023904561996, 0.1007075235247612, 0.10506881773471832, 0.10775644332170486, 0.09086195379495621]"
31,"[0.13395273685455322, 0.08364839106798172]",9,0.0,"[0.1341302682304803, 0.08364838918368962]","[0.09397022426128387, 0.09565261751413345, 0.10596885532140732, 0.11935939639806747, 0.09011276066303253, 0.09053964912891388, 0.10070633888244629, 0.10503694415092468, 0.10775696486234665, 0.09089627861976624]"
32,"[0.13413026928901672, 0.08364839106798172]",6,0.0,"[0.1351856050507537, 0.08364838918368962]","[0.09396844357252121, 0.09565237909555435, 0.10596948117017746, 0.11936147511005402, 0.09011305868625641, 0.09053879976272583, 0.10070644319057465, 0.1050398051738739, 0.10775691270828247, 0.09089318662881851]"
33,"[0.1351855993270874, 0.08364839106798172]",0,0.0,"[0.13097788569353327, 0.08364838918368962]","[0.09395784884691238, 0.09565099328756332, 0.10597321391105652, 0.11937384307384491, 0.09011490643024445, 0.0905337706208229, 0.10070707648992538, 0.10505684465169907, 0.10775663703680038, 0.09087484329938889]"
34,"[0.13097788393497467, 0.08364839106798172]",5,-2.0,"[0.1383349599493742, 0.08364838918368962]","[0.09400005638599396, 0.09565649926662445, 0.10595834255218506, 0.11932454258203506, 0.09010756015777588, 0.09055380523204803, 0.10070453584194183, 0.1049889400601387, 0.10775772482156754, 0.09094800800085068]"
35,"[0.1383349597454071, 0.08364839106798172]",3,-2.0,"[0.16037679571268365, 0.08364838918368962]","[0.09392596036195755, 0.09564634412527084, 0.10598411411046982, 0.11941113322973251, 0.09012024104595184, 0.09051878750324249, 0.10070928931236267, 0.1051081195473671, 0.10775642096996307, 0.0908195972442627]"
36,"[0.16037680208683014, 0.08364839106798172]",0,0.0,"[0.15783132517936216, 0.08364838918368962]","[0.09369529783725739, 0.09559682756662369, 0.10606373846530914, 0.11967543512582779, 0.09015402942895889, 0.09042540192604065, 0.10072720050811768, 0.10547114163637161, 0.10777368396520615, 0.09041724354028702]"
37,"[0.1578313261270523, 0.08364839106798172]",7,2.0,"[0.15268393679521294, 0.08364838918368962]","[0.09372192621231079, 0.09560263901948929, 0.10605325549840927, 0.11964533478021622, 0.09015009552240372, 0.09043487161397934, 0.10072675347328186, 0.10543008893728256, 0.10777124017477036, 0.09046385437250137]"
