,state,action,reward,next_state,distribution
0,"[1.0412341356277466, -0.4798388183116913, 0.38525986671447754, 0.0, 1.5707963705062866, 1.8875995874404907, 0.49519094824790955, -60.2177848815918, 2.712958335876465, 0.573881983757019, -84.7162857055664]",7,-5.0,"[1.041234163133002, -0.479838803981709, 0.3852598735167463, 0.0, 1.5707963267948966, 1.8875995827016376, 0.4951909503613692, -60.21778399321437, 2.7129583165862705, 0.573881987517241, -84.71628799755354]","[0.0011375020258128643, 0.06788890063762665, 6.346250302158296e-05, 0.0065893991850316525, 0.2580759823322296, 0.0006811681669205427, 0.07246481627225876, 0.007871391251683235, 0.5847933888435364, 0.00043403892777860165]"
1,"[1.0412341356277466, -0.4798388183116913, 0.38525986671447754, 0.0, 1.5707963705062866, 1.8875995874404907, 0.49519094824790955, -60.2177848815918, 2.712958335876465, 0.573881983757019, -84.7162857055664]",2,5.0,"[1.0385952053787446, -0.4647032721772318, 0.380111081032625, 0.0, 1.5707963267948966, 1.7620655394234743, 0.475071884417964, -56.38332519669172, 2.7102642151123693, 0.5728725148230329, -84.62631817830783]","[0.0011375020258128643, 0.06788890063762665, 6.346250302158296e-05, 0.0065893991850316525, 0.2580759823322296, 0.0006811681669205427, 0.07246481627225876, 0.007871391251683235, 0.5847933888435364, 0.00043403892777860165]"
2,"[1.038595199584961, -0.4647032618522644, 0.38011106848716736, 0.0, 1.5707963705062866, 1.7620655298233032, 0.47507187724113464, -56.383323669433594, 2.710264205932617, 0.572872519493103, -84.6263198852539]",4,5.0,"[1.0185366990190703, -0.4498228378089889, 0.4231667171982796, 0.0, 1.5707963267948966, 1.736192823799632, 0.4796137361155126, -55.7085146864876, 2.709762455905917, 0.5731382299821646, -84.61559221644683]","[0.0016766948392614722, 0.07976829260587692, 7.898772309999913e-05, 0.007863215170800686, 0.23297497630119324, 0.0008826456614769995, 0.09627540409564972, 0.009844562970101833, 0.5700754523277283, 0.0005598462885245681]"
3,"[1.0185366868972778, -0.4498228430747986, 0.4231667220592499, 0.0, 1.5707963705062866, 1.7361928224563599, 0.479613721370697, -55.70851516723633, 2.7097625732421875, 0.5731382369995117, -84.61559295654297]",2,6.0,"[1.017131540175654, -0.4184558824003497, 0.4543184403874039, 0.0, 1.5707963267948966, 1.6192909774696425, 0.4809323807244512, -52.404264857613896, 2.731068294768788, 0.579012441663715, -85.29907238405252]","[0.0017969872569665313, 0.08195438235998154, 8.18455227999948e-05, 0.008100166916847229, 0.2282947450876236, 0.0009230490541085601, 0.10092582553625107, 0.010172702372074127, 0.5671643018722534, 0.0005861043464392424]"
4,"[1.0171315670013428, -0.4184558689594269, 0.45431843400001526, 0.0, 1.5707963705062866, 1.6192909479141235, 0.4809323847293854, -52.404266357421875, 2.7310683727264404, 0.5790124535560608, -85.299072265625]",5,6.0,"[1.014707782011602, -0.4183876871199493, 0.3144633905876585, 0.0, 1.5707963267948966, 1.5487028374537817, 0.4816733256856182, -50.40834474879608, 2.709169774393871, 0.5750484194694754, -84.62413907302806]","[0.0024619698524475098, 0.09353660047054291, 9.27935034269467e-05, 0.009164515882730484, 0.20431028306484222, 0.0011170427314937115, 0.13073769211769104, 0.01207941584289074, 0.5457834005355835, 0.0007163381087593734]"
5,"[1.0147078037261963, -0.41838768124580383, 0.31446337699890137, 0.0, 1.5707963705062866, 1.5487028360366821, 0.48167333006858826, -50.40834426879883, 2.709169864654541, 0.5750484466552734, -84.62413787841797]",5,6.0,"[1.0171554390416504, -0.425903744288941, 0.2851308283008101, 0.0, 1.5707963267948966, 1.2444874925569067, 0.3779027033037354, -40.38484561977191, 2.7228161968664413, 0.5775474254831607, -85.04511709617373]","[0.002890599425882101, 0.09874143451452255, 0.00010775704868137836, 0.010066774673759937, 0.19483791291713715, 0.0012719965307042003, 0.14387063682079315, 0.013347332365810871, 0.5340398550033569, 0.0008257848676294088]"
6,"[1.017155408859253, -0.4259037375450134, 0.2851308286190033, 0.0, 1.5707963705062866, 1.2444875240325928, 0.37790271639823914, -40.38484573364258, 2.722816228866577, 0.5775474309921265, -85.04512023925781]",4,6.0,"[1.0231977026655437, -0.4201975210838303, 0.3702360005981258, 0.0, 1.5707963267948966, 1.1329436523080716, 0.3538633489544334, -36.89581582594752, 2.6942682028883382, 0.5719597581590552, -84.15965889383455]","[0.006121034733951092, 0.12297338992357254, 0.00017562815628480166, 0.013133561238646507, 0.12897519767284393, 0.0021861365530639887, 0.23150663077831268, 0.0169985331594944, 0.4767301082611084, 0.0011997544206678867]"
7,"[1.0231976509094238, -0.4201975166797638, 0.37023600935935974, 0.0, 1.5707963705062866, 1.1329436302185059, 0.35386335849761963, -36.895816802978516, 2.694268226623535, 0.5719597339630127, -84.15966033935547]",4,2.0,"[1.0338040826842243, -0.4105841488028177, 0.4837908653967187, 0.0, 1.5707963267948966, 1.2150365149530256, 0.3826715380015519, -39.61137528438053, 2.643022458570414, 0.5653922068688799, -82.61621878608429]","[0.008068307302892208, 0.12765470147132874, 0.00021537324937526137, 0.014440887607634068, 0.1116834506392479, 0.0026860791258513927, 0.2669602930545807, 0.018776051700115204, 0.4481448233127594, 0.0013701078714802861]"
8,"[1.0338040590286255, -0.41058415174484253, 0.48379087448120117, 0.0, 1.5707963705062866, 1.2150365114212036, 0.3826715350151062, -39.61137390136719, 2.6430225372314453, 0.5653921961784363, -82.61621856689453]",0,6.0,"[1.0674062233635309, -0.4232219194660921, 0.4917369537039709, 0.0, 1.5707963267948966, 1.256267700366141, 0.4070071021365122, -41.10640201633646, 2.618020297078429, 0.5599848890545727, -81.83391269806191]","[0.006571842357516289, 0.12583516538143158, 0.00020936160581186414, 0.014051002450287342, 0.13305462896823883, 0.0024327656719833612, 0.2278042733669281, 0.017817653715610504, 0.470852792263031, 0.0013705510646104813]"
9,"[1.067406177520752, -0.4232219159603119, 0.4917369484901428, 0.0, 1.5707963705062866, 1.2562676668167114, 0.407007098197937, -41.10640335083008, 2.6180202960968018, 0.5599848628044128, -81.83391571044922]",4,6.0,"[1.050620810676275, -0.4100739883012082, 0.5911192713236718, 0.0, 1.5707963267948966, 1.2014738216227716, 0.3744502778023366, -39.11672308224405, 2.5350943728795343, 0.5451061817028982, -79.2798157147896]","[0.005828548688441515, 0.12381332367658615, 0.00020391074940562248, 0.013739163056015968, 0.14562058448791504, 0.002282670931890607, 0.2076970487833023, 0.017249030992388725, 0.48220425844192505, 0.0013614809140563011]"
