,state,action,reward,next_state,distribution
0,"[-0.002389187691733241, -0.001967127900570631, 0.008695230819284916, -3.402950460440479e-05, 0.9478248357772827, 0.08093402534723282, 0.10619630664587021, -0.010020964778959751, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",8,2.0,"[-0.005673638857819796, -0.008641462888928864, 0.008703790869629913, 7.106787540323012e-05, 1.14628575559309, 0.07369462806749946, 0.10414218312456502, -0.014426271508795385, -0.010000013470429406, 0.10000009313500816, -0.025009281132740924]","[0.09895484149456024, 0.10179547220468521, 0.10010356456041336, 0.11018053442239761, 0.09686139225959778, 0.1006341353058815, 0.10011372715234756, 0.09425804018974304, 0.09996048361063004, 0.09713787585496902]"
1,"[-0.005673639010637999, -0.00864146277308464, 0.008703790605068207, 7.106787234079093e-05, 1.1462857723236084, 0.0736946314573288, 0.10414218157529831, -0.014426271431148052, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",6,2.0,"[-0.010829768189646316, -0.0281492356625046, 0.0087259977405445, 0.19949158372372366, 1.1448910614522179, 0.06193425116197254, 0.10194524148211626, -0.018175137368421246, -0.010000013470429406, 0.10000009313500816, -0.025009281132740924]","[0.09897240996360779, 0.10183227062225342, 0.09917808324098587, 0.11070065945386887, 0.09744466841220856, 0.10147494822740555, 0.10012058913707733, 0.0939847007393837, 0.0992916077375412, 0.09700006246566772]"
2,"[-0.010829768143594265, -0.028149235993623734, 0.008725997991859913, 0.19949159026145935, 1.1448910236358643, 0.061934251338243484, 0.10194524377584457, -0.018175138160586357, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",7,2.0,"[-0.0127686365930062, -0.026737793101676566, 0.011689702338440355, 0.009019926569226122, 1.1448921443664197, 0.0570055584306102, 0.09932029320632307, -0.014385284782084562, -0.010000013470429406, 0.10000009313500816, -0.025009281132740924]","[0.09896988421678543, 0.10146764665842056, 0.09937746077775955, 0.11097060143947601, 0.09701655060052872, 0.1017264723777771, 0.09995902329683304, 0.09377048909664154, 0.0991964265704155, 0.09754542261362076]"
3,"[-0.012768636457622051, -0.026737792417407036, 0.011689702048897743, 0.009019926190376282, 1.1448920965194702, 0.05700555816292763, 0.09932029247283936, -0.0143852848559618, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",0,0.0,"[-0.0006592533609168783, -0.025884325135593578, 0.011237783099873333, -0.00015582682527792713, 1.144368271060328, 0.056494523509894104, 0.09763080166975058, -0.014177677422362311, -0.010000013470429406, 0.10000009313500816, -0.025009281132740924]","[0.09885625541210175, 0.10178262740373611, 0.09931150078773499, 0.1106877326965332, 0.09749297052621841, 0.1015738770365715, 0.1000361368060112, 0.09392764419317245, 0.09928436577320099, 0.09704690426588058]"
4,"[-0.0006592533318325877, -0.025884324684739113, 0.01123778335750103, -0.00015582682681269944, 1.144368290901184, 0.05649452283978462, 0.09763079881668091, -0.014177677221596241, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",0,2.0,"[0.0026493223290184886, -0.024951496884191293, 0.011774001393784594, -0.00022335607429280202, 1.143908744841271, 0.053858461332039226, 0.09388678582169724, -0.014154823570428299, -0.010000013470429406, 0.10000009313500816, -0.025009281132740924]","[0.09892141819000244, 0.10179069638252258, 0.0993548184633255, 0.11064048856496811, 0.09745636582374573, 0.1015225276350975, 0.1000223159790039, 0.09387264400720596, 0.09941467642784119, 0.09700409322977066]"
5,"[0.0026493223849684, -0.024951497092843056, 0.011774001643061638, -0.00022335608082357794, 1.1439087390899658, 0.05385846272110939, 0.09388678520917892, -0.014154823496937752, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",3,-2.0,"[0.003371094605308045, -0.05654997780881921, 0.02082141643452573, 0.0009632083385664458, 1.143908966440013, 0.05396965924027665, 0.09992949515716809, -0.013984163960821916, -0.010000013470429406, 0.10000009313500816, -0.025009281132740924]","[0.0989161878824234, 0.10176999121904373, 0.09937765449285507, 0.11063749343156815, 0.09745024889707565, 0.10152773559093475, 0.10002557188272476, 0.09384869784116745, 0.09945759922266006, 0.09698882699012756]"
6,"[0.003371094586327672, -0.056549977511167526, 0.02082141675055027, 0.0009632083238102496, 1.143908977508545, 0.05396965891122818, 0.09992949664592743, -0.013984164223074913, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",1,0.0,"[-0.11775398598957043, -0.055729372661616594, 0.02163342063764162, 0.000567874508750954, 1.143908988290315, 0.038637420857629626, 0.10129525338405587, -0.03596683379916321, -0.010000013470429406, 0.10000009313500816, -0.025009281132740924]","[0.09895100444555283, 0.10176195204257965, 0.0995217114686966, 0.11059330403804779, 0.0974198430776596, 0.10140664130449295, 0.09983235597610474, 0.0938960388302803, 0.09954149276018143, 0.09707571566104889]"
7,"[-0.11775398254394531, -0.055729374289512634, 0.021633420139551163, 0.0005678745219483972, 1.143908977508545, 0.038637422025203705, 0.10129525512456894, -0.03596683219075203, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",8,0.0,"[-0.12554875260994436, -0.05504954711474408, 0.021881557093339055, 0.0010578975021475756, 1.3439089990812922, 0.03882935925068162, 0.1008381033360059, -0.038173446095649544, -0.010000013470429406, 0.10000009313500816, -0.025009281132740924]","[0.09832849353551865, 0.10151636600494385, 0.09916279464960098, 0.11098869144916534, 0.09814292937517166, 0.10165204852819443, 0.09987247735261917, 0.0944104790687561, 0.09870616346597672, 0.09721958637237549]"
8,"[-0.12554875016212463, -0.05504954606294632, 0.021881558001041412, 0.00105789746157825, 1.3439090251922607, 0.03882936015725136, 0.10083810240030289, -0.03817344456911087, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",8,0.0,"[-0.12408455559408615, -0.05439759592173132, 0.02194574544601302, 0.0013436447474157731, 1.537109005454055, 0.03889643811723917, 0.10067121945189222, -0.037769164219087825, -0.010000013470429406, 0.10000009313500816, -0.025009281132740924]","[0.09843003004789352, 0.10147346556186676, 0.0984245017170906, 0.111526720225811, 0.09845975041389465, 0.10199204832315445, 0.10021928697824478, 0.09429869800806046, 0.09805966168642044, 0.09711585193872452]"
9,"[-0.12408455461263657, -0.054397594183683395, 0.02194574475288391, 0.0013436446897685528, 1.5371090173721313, 0.03889643773436546, 0.10067121684551239, -0.03776916489005089, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",5,0.0,"[-0.12262472386215251, -0.05327871115827687, 0.011788265278936727, 0.0015429469830525733, 1.5439090100307098, 0.039599052762128356, 0.101896411490076, -0.03786165449656198, -0.010000013470429406, 0.10000009313500816, -0.025009281132740924]","[0.09836086630821228, 0.10152453184127808, 0.09765064716339111, 0.11176661401987076, 0.09868835657835007, 0.10243594646453857, 0.10057519376277924, 0.09419381618499756, 0.09786348044872284, 0.0969405546784401]"
