,state,action,reward,next_state
0,"0.13298512,0.10344201",1,9.539900768904836,"0.13722174370040274,0.10355191456478646"
1,"0.13722174,0.10355192",3,9.518006271886032,"0.14816894506740197,0.10355194599305517"
2,"0.14816895,0.10355195",4,9.473141195542842,"0.17060148323899604,0.10355194599305517"
3,"0.17060149,0.10355195",4,9.422057735051078,"0.19614321348487831,0.10355194599305517"
4,"0.19614321,0.10355195",2,9.417825230996588,"0.19825946551212406,0.10355194599305517"
5,"0.19825947,0.10355195",5,9.403478917876816,"0.20543262207200966,0.10355194599305517"
6,"0.20543262,0.10355195",2,9.386757851903134,"0.21379315505885105,0.10355194599305517"
7,"0.21379316,0.10355195",6,9.410808891999535,"0.2018056707538461,0.10355194599305517"
8,"0.20180567,0.10355195",6,9.45760094473436,"0.1783716086432378,0.10355194599305517"
9,"0.17837161,0.10355195",5,9.514314678311345,"0.15001474185474512,0.10355194599305517"
10,"0.15001474,0.10355195",5,9.560969547117006,"0.12668730745191426,0.10355194599305517"
11,"0.1266873,0.10355195",5,9.591826480036383,"0.11125884099222645,0.10355194599305517"
12,"0.11125884,0.10355195",0,9.628145390201986,"0.09309938590942482,0.10355194599305517"
13,"0.093099385,0.10355195",1,9.629996264980496,"0.09512188653877424,0.10147060224810268"
14,"0.09512188,0.101470605",9,9.613718779769906,"0.10343470674289348,0.10147060224810268"
15,"0.103434704,0.101470605",1,9.595743525104476,"0.11238978372674924,0.10147060224810268"
16,"0.11238978,0.101470605",2,9.570727294593059,"0.12493044933131683,0.10147060224810268"
17,"0.12493045,0.101470605",3,9.539584026160087,"0.14050208354780308,0.10147060224810268"
18,"0.14050208,0.101470605",2,9.512221719213368,"0.15414911541681794,0.10147060224810268"
19,"0.15414912,0.101470605",6,9.49242592062497,"0.16408113631536098,0.10147060224810268"
20,"0.16408114,0.101470605",4,9.484134335016526,"0.1682269291195836,0.10147060224810268"
21,"0.16822693,0.101470605",4,9.441750007811626,"0.1894190927220332,0.10147060224810268"
22,"0.18941909,0.101470605",5,9.437574345574346,"0.19150692384067314,0.10147060224810268"
23,"0.19150692,0.101470605",0,9.481729865362126,"0.16942916394678287,0.10147060224810268"
24,"0.16942917,0.101470605",7,9.553081376630391,"0.13375340831265056,0.10147060224810268"
25,"0.1337534,0.101470605",1,9.559490844177486,"0.13054867453910363,0.10147060224810268"
26,"0.13054867,0.101470605",2,9.53488884961415,"0.14284967182077116,0.10147060224810268"
27,"0.14284967,0.101470605",6,9.497507172206161,"0.16114155730582483,0.10147060224810268"
28,"0.16114156,0.101470605",1,9.466960690830355,"0.17681375121266887,0.10147060224810268"
29,"0.17681375,0.101470605",9,9.438337424905614,"0.1911253841750393,0.10147060224810268"
30,"0.1332785,0.10344201",9,9.552871003828601,"0.13074353618349752,0.103547307934801"
31,"0.13074353,0.103547305",0,9.567437686012923,"0.12345323800395623,0.10355194599305517"
32,"0.12345324,0.10355195",0,9.588808174666877,"0.11276799367697911,0.10355194599305517"
33,"0.112767994,0.10355195",0,9.600210124873504,"0.107067018573666,0.10355194599305517"
34,"0.10706702,0.10355195",0,9.601474685473885,"0.10643473827347498,0.10355194599305517"
35,"0.10643474,0.10355195",2,9.60263218073665,"0.10585599064209236,0.10355194599305517"
36,"0.105855994,0.10355195",5,9.603500377827897,"0.10542189209646911,0.10355194599305517"
37,"0.10542189,0.10355195",3,9.598985660704178,"0.10767925065832881,0.10355194599305517"
38,"0.10767925,0.10355195",7,9.573488123651105,"0.12042801918486536,0.10355194599305517"
39,"0.12042802,0.10355195",6,9.540422235239825,"0.13696096339050493,0.10355194599305517"
40,"0.13696097,0.10355195",7,9.51143671525193,"0.15145372338445265,0.10355194599305517"
41,"0.15145372,0.10355195",6,9.50560045563184,"0.15436950301875724,0.10355194599305517"
42,"0.1543695,0.10355195",4,9.504668965466456,"0.15483759827719001,0.10355194599305517"
43,"0.1548376,0.10355195",6,9.495320599308965,"0.159511781355935,0.10355194599305517"
44,"0.15951177,0.10355195",4,9.486214897731566,"0.16406463214463485,0.10355194599305517"
45,"0.16406463,0.10355195",4,9.446339622938927,"0.18400226954095444,0.10355194599305517"
46,"0.18400227,0.10355195",4,9.407166181735802,"0.2035889901425167,0.10355194599305517"
47,"0.20358899,0.10355195",7,9.435916608012517,"0.18921377700415892,0.10355194599305517"
