,state,action,reward,next_state,distribution
0,"[-0.003478239756077528, -0.012015679851174355, 0.010171297937631607, 0.0010335042607039213, 2.0004624445846275e-07, 0.028906356543302536, 0.11090956628322601, -0.05891481786966324, 3.554258910298813e-06, 0.10000377148389816, 0.00301262061111629]",8,-0.42698609118732833,"[-0.0022174010232802743, -0.011530843989111972, 0.00967527602660656, 0.0010302021636370284, 0.19800020116281836, 0.025152330527976094, 0.10972316959363049, -0.05638465511120039, 9.25479999039358e-06, 0.10002745692898429, 0.002606576866280186]","[0.09580725431442261, 0.10639628022909164, 0.10379748791456223, 0.09391990303993225, 0.10171527415513992, 0.09931795299053192, 0.09319589287042618, 0.10067625343799591, 0.10456033796072006, 0.10061334073543549]"
1,"[-0.0022174010518938303, -0.011530843563377857, 0.009675276465713978, 0.0010302021401003003, 0.1980002075433731, 0.025152331218123436, 0.10972317308187485, -0.05638465657830238, 9.254799806512892e-06, 0.10002745687961578, 0.0026065767742693424]",4,-0.3956179182670814,"[-0.00200473641667287, -0.05430683358482735, 0.1940742908430675, 0.0008065052969632447, 0.19800021470898432, 0.022966614923956616, 0.09508985866065944, -0.05077605132212626, 9.250910934913148e-06, 0.10002744764610064, 0.002606650983526415]","[0.09657081216573715, 0.10658778250217438, 0.10430464893579483, 0.0931469053030014, 0.10168791562318802, 0.10003969073295593, 0.09267226606607437, 0.10048188269138336, 0.10461308807134628, 0.09989503026008606]"
2,"[-0.0020047363359481096, -0.05430683493614197, 0.19407428801059723, 0.0008065052679739892, 0.1980002075433731, 0.022966613993048668, 0.0950898602604866, -0.05077604949474335, 9.250910807168111e-06, 0.10002744942903519, 0.002606651047244668]",8,-0.38936767662776817,"[-0.0006175268047048377, -0.05306230991937344, 0.19871832957683733, -0.000134570187447558, 0.397500262346389, 0.020122630289787988, 0.09308390153988316, -0.04897986127441056, 9.24654937764502e-06, 0.10002743702251485, 0.0026164386516637217]","[0.09620587527751923, 0.10693100094795227, 0.10416264832019806, 0.09335652738809586, 0.10126520693302155, 0.10080095380544662, 0.0929497480392456, 0.10054729133844376, 0.10399356484413147, 0.09978719055652618]"
3,"[-0.0006175268208608031, -0.053062308579683304, 0.19871832430362701, -0.0001345701894024387, 0.39750027656555176, 0.020122630521655083, 0.09308390319347382, -0.04897985979914665, 9.24654978007311e-06, 0.10002743452787399, 0.0026164385490119457]",4,-0.35935489890473105,"[-0.0005570427685963608, -0.09651258319885869, 0.38197680458218475, 6.478408227650334e-05, 0.39750030798316516, 0.019922887698148248, 0.07773467721921318, -0.04516681034195591, 9.24654937764502e-06, 0.10002743702251485, 0.0026164386516637217]","[0.09738129377365112, 0.10694330185651779, 0.10385037213563919, 0.0929626077413559, 0.10106974095106125, 0.10154549032449722, 0.09277766197919846, 0.10111290961503983, 0.10360123217105865, 0.09875542670488358]"
4,"[-0.0005570427747443318, -0.09651258587837219, 0.38197681307792664, 6.478407885879278e-05, 0.39750030636787415, 0.019922887906432152, 0.07773467898368835, -0.04516680911183357, 9.24654978007311e-06, 0.10002743452787399, 0.0026164385490119457]",4,-0.3310366154642181,"[-0.0006577081684522312, -0.15300112719145353, 0.5615417483785228, -0.00024907810667151864, 0.39750043186483897, 0.026197023571436558, 0.07555967269421654, -0.042660694655125786, 0.0013704308068108878, 0.09154565198732281, 0.002347685881615158]","[0.09728608280420303, 0.10725107789039612, 0.10319610685110092, 0.0928313210606575, 0.10041574388742447, 0.1024157702922821, 0.09357927739620209, 0.10158934444189072, 0.10273807495832443, 0.09869728237390518]"
5,"[-0.0006577081512659788, -0.15300112962722778, 0.561541736125946, -0.00024907811894081533, 0.3975004255771637, 0.026197023689746857, 0.07555967569351196, -0.04266069456934929, 0.001370430807583034, 0.09154564887285233, 0.0023476858623325825]",3,-0.33247839434544135,"[0.0005362265329145188, -0.15649614133159062, 0.5741075786809571, -0.0024102474852263356, 0.397500524806806, 0.03402034593187891, 0.08304236811097587, -0.042370900584327575, 0.0016816268655343303, 0.08627630284251495, 0.0026164386516819294]","[0.09705203771591187, 0.10737642645835876, 0.102430559694767, 0.09268192946910858, 0.09980256855487823, 0.1027323380112648, 0.09473492950201035, 0.10201236605644226, 0.10248720645904541, 0.09868966788053513]"
6,"[0.0005362265510484576, -0.15649613738059998, 0.5741075873374939, -0.0024102474562823772, 0.39750051498413086, 0.03402034565806389, 0.08304236829280853, -0.04237090051174164, 0.0016816268907859921, 0.08627630025148392, 0.0026164385490119457]",2,-0.313739854255541,"[0.0007758256503773708, -0.09344675448144102, 0.5586966571488263, -0.002558309713336371, 0.3975005779209555, 0.038434477629889885, 0.07244817661369263, -0.03675492582131712, 0.0016816198519580133, 0.08627629528333444, 0.0026164386516819294]","[0.09702718257904053, 0.10733567923307419, 0.10235584527254105, 0.09274429082870483, 0.0997830182313919, 0.1026807576417923, 0.09476157277822495, 0.10205128788948059, 0.10254321992397308, 0.09871715307235718]"
7,"[0.0007758256397210062, -0.0934467539191246, 0.5586966276168823, -0.002558309817686677, 0.39750057458877563, 0.038434479385614395, 0.07244817912578583, -0.036754924803972244, 0.0016816199058666825, 0.08627629280090332, 0.0026164385490119457]",9,-0.31907305521780494,"[-0.0009435058417910369, -0.09413414711256962, 0.5608376530296031, 0.005724184868240556, 0.20035711225143338, 0.04181031461758213, 0.07414545156094271, -0.039384471252894904, 0.0013885567734944065, 0.08544586584851824, 0.0026066509833797546]","[0.09690378606319427, 0.10735195875167847, 0.10232014209032059, 0.09272188693284988, 0.09987359493970871, 0.10269127041101456, 0.09462717920541763, 0.10200761258602142, 0.1026492789387703, 0.09885333478450775]"
8,"[-0.0009435058454982936, -0.0941341444849968, 0.5608376264572144, 0.0057241846807301044, 0.2003571093082428, 0.04181031510233879, 0.07414545118808746, -0.039384473115205765, 0.0013885567896068096, 0.08544586598873138, 0.002606651047244668]",1,-0.3284985295415579,"[-0.08240863668557719, -0.09315884330617319, 0.5677179142027056, -0.009280877452587433, 0.20035721141581941, 0.032041755536188085, 0.07592442436660979, -0.053960598937405124, 0.0013885447929470607, 0.08544585385050704, 0.002616438651691144]","[0.09605937451124191, 0.10696001350879669, 0.1026759147644043, 0.0931873694062233, 0.09989004582166672, 0.10213924199342728, 0.0944589227437973, 0.10127095878124237, 0.10376065969467163, 0.09959742426872253]"
9,"[-0.08240863680839539, -0.09315884113311768, 0.5677179098129272, -0.009280877187848091, 0.20035721361637115, 0.0320417545735836, 0.07592442631721497, -0.05396059900522232, 0.0013885447988286614, 0.08544585108757019, 0.0026164385490119457]",1,-0.3517298056872743,"[-0.17617272981559395, -0.09224889761139199, 0.5750730394902712, -0.023956651925564287, 0.20035732849334398, 0.021819076464000955, 0.07680801392210063, -0.07583325463586754, 0.0013885385388548027, 0.0854458475496391, 0.002616438651691144]","[0.09599748998880386, 0.10686949640512466, 0.10264604538679123, 0.09347254782915115, 0.09981007874011993, 0.10221665352582932, 0.09446185827255249, 0.10123168677091599, 0.1041751280426979, 0.09911901503801346]"
